"ID","Region","Programa","Monto"
"1","Region 1","Grupo 1",24162.864955
"2","Region 1","Grupo 3",944.268887
"3","Region 1","Grupo 4",1478.302875
"4","Region 2","Grupo 1",4040.324649
"5","Region 2","Grupo 3",269.0519
"6","Region 2","Grupo 4",1156.339111
"7","Region 3","Grupo 1",7409.809979
"8","Region 3","Grupo 3",956.545733
"9","Region 3","Grupo 4",629.873909
"10","Region 4","Grupo 1",31950.190677
"11","Region 4","Grupo 2",7121.620559
"12","Region 4","Grupo 3",440.231963
"13","Region 4","Grupo 4",3930.558233
"14","Region 5","Grupo 1",122332.290354
"15","Region 5","Grupo 2",27880.237917
"16","Region 5","Grupo 3",3927.561225
"17","Region 5","Grupo 4",4015.583914
"18","Region 6","Grupo 1",49282.459719
"19","Region 6","Grupo 2",4347.006141
"20","Region 6","Grupo 3",607.140867
"21","Region 7","Grupo 1",30331.138125
"22","Region 7","Grupo 2",1217.438916
"23","Region 7","Grupo 3",265.849353
"24","Region 7","Grupo 4",1292.131251
"25","Region 8","Grupo 1",96835.595471
"26","Region 8","Grupo 2",10018.11409
"27","Region 8","Grupo 3",582.37995
"28","Region 8","Grupo 4",9356.109626
"29","Region 9","Grupo 1",206789.33624
"30","Region 9","Grupo 2",19186.748875
"31","Region 9","Grupo 3",1766.376173
"32","Region 9","Grupo 4",10600.54613
"33","Region 10","Grupo 1",42011.616415
"34","Region 10","Grupo 2",7916.577834
"35","Region 10","Grupo 3",1397.381617
"36","Region 10","Grupo 4",5126.251843
"37","Region 11","Grupo 1",47155.712582
"38","Region 11","Grupo 2",13964.058945
"39","Region 11","Grupo 3",1297.487254
"40","Region 11","Grupo 4",3127.105427
"41","Region 12","Grupo 1",41106.518309
"42","Region 12","Grupo 2",2324.011242
"43","Region 12","Grupo 3",5730.40759
"44","Region 12","Grupo 4",1946.434746
"45","Region 13","Grupo 1",14992.621022
"46","Region 13","Grupo 3",958.069683
"47","Region 14","Grupo 1",14538.723174
"48","Region 14","Grupo 3",795.421951
"49","Region 14","Grupo 4",575.88624
"50","Region 15","Grupo 1",5896.705997
"51","Region 16","Grupo 1",2122.910132
"52","Region 16","Grupo 3",387.55539
